name,puan,fiyat,uzaklık
The City Suites,7.3,₺1.322,Kadıköy 4.1 km uzaklıkta
Mini Suite Otel,7.4,₺1.200,Kadıköy 3.6 km uzaklıkta
Dream Hill Business Deluxe Hotel,7.8,₺2.405,Kadıköy 5.9 km uzaklıkta
Anka Business Park,6.9,₺1.270,Kadıköy 5.2 km uzaklıkta
Kerthill Hotel,8.8,₺2.750,Kadıköy 2.8 km uzaklıkta
Rhiss Bostancı,8.0,₺2.415,Kadıköy 2.9 km uzaklıkta
Antwell,9.0,₺2.421,Kadıköy 3.0 km uzaklıkta
Cityloft 81,7.5,₺1.880,Kadıköy 5.1 km uzaklıkta
Mercure Istanbul Altunizade,8.0,₺4.553,Kadıköy 6.0 km uzaklıkta
Asia Business Suites,7.9,₺1.999,Kadıköy 2.2 km uzaklıkta
39 Kalamis Marina Hotel,9.1,₺5.676,Kadıköy 3.5 km uzaklıkta
Vois Hotel,7.6,₺1.149,Kadıköy 5.1 km uzaklıkta
The Hera Suite Hotels,5.8,₺829,Kadıköy 4.5 km uzaklıkta
Camlica Tower Hotel,8.4,₺1.550,Kadıköy 4.1 km uzaklıkta
Burgu Arjaan by Rotana Istanbul Asia,8.6,₺4.324,Kadıköy 6.7 km uzaklıkta
Kadikoy Bella,8.0,₺2.376,Kadıköy 5.0 km uzaklıkta
The Place Suites Ataşehir,8.5,₺3.199,Kadıköy 4.7 km uzaklıkta
Dila,8.0,₺3.327,Kadıköy 4.9 km uzaklıkta
Arkem Hotel 1,5.9,₺787,Kadıköy 4.9 km uzaklıkta
Juliet Rooms & Kitchen,8.4,₺4.562,Kadıköy 4.3 km uzaklıkta
Emirtimes Hotel Kadıköy,7.8,₺1.600,Kadıköy 4.9 km uzaklıkta
Residence Inn By Marriott Istanbul Atasehir,8.8,₺2.381,Kadıköy 5.8 km uzaklıkta
Parkhouse Hotel & Spa,8.4,₺4.342,Kadıköy 4.9 km uzaklıkta
Hotel Boutique Princess,7.2,₺1.459,Kadıköy 5.5 km uzaklıkta
Kadıköy Linda Hotel,8.7,₺1.417,Kadıköy 4.2 km uzaklıkta
Istanbul Life,8.9,₺2.986,Kadıköy 4.9 km uzaklıkta
Mezzo,8.3,₺1.436,Kadıköy 4.3 km uzaklıkta
Mercure Istanbul Ümraniye,8.2,₺3.052,Kadıköy 6.2 km uzaklıkta
Arkem Hotel 2,6.2,₺799,Kadıköy 5.0 km uzaklıkta
My Dora,8.9,₺2.963,Kadıköy 5.0 km uzaklıkta
Rubby Hotel Kadıköy,8.2,₺2.254,Kadıköy 4.5 km uzaklıkta
Volley Hotel Istanbul,7.8,₺4.436,Kadıköy 5.9 km uzaklıkta
My Kent Hotel,9.1,₺3.717,Kadıköy 4.9 km uzaklıkta
Khalkedon Hotel Istanbul,9.2,₺2.898,Kadıköy 4.9 km uzaklıkta
Crowne Plaza Istanbul - Oryapark,8.9,₺5.212,Kadıköy 6.0 km uzaklıkta
MaCity Hotel,7.6,₺1.300,Kadıköy 6.7 km uzaklıkta
Sarnıç Butik Otel,8.5,₺1.917,Kadıköy 5.0 km uzaklıkta
Sun Suites,8.6,₺1.771,Kadıköy 4.4 km uzaklıkta
Hotel Golden Siyav,8.3,₺3.221,Kadıköy 5.0 km uzaklıkta
Moda Drei,8.2,₺1.004,Kadıköy 4.4 km uzaklıkta
Grand As,7.8,₺1.687,Kadıköy 4.9 km uzaklıkta
Yolo Hostel Kadakoy,8.9,₺2.190,Kadıköy 4.9 km uzaklıkta
Belizia Hotel,9.2,₺1.932,Kadıköy 4.8 km uzaklıkta
Kutuban Hostel,5.3,₺950,Kadıköy 4.8 km uzaklıkta
Hotel Sirin Otel,6.9,₺1.288,Kadıköy 4.9 km uzaklıkta
Bosphorus Palace,9.2,₺5.979,Kadıköy 7.9 km uzaklıkta
Pasaport Pier Istanbul,7.0,₺1.071,Kadıköy 4.9 km uzaklıkta
An Otel,9.9,₺4.523,Kadıköy 4.9 km uzaklıkta
Kent Apart,6.0,₺1.288,Kadıköy 4.8 km uzaklıkta
Aydinoglu,7.6,₺2.415,Kadıköy 5.6 km uzaklıkta
Hush Hostel Lounge,8.4,₺1.438,Kadıköy 5.0 km uzaklıkta
The Marist Kadıköy,8.6,₺1.675,Kadıköy 4.9 km uzaklıkta
Redstone Hotel,7.6,₺1.769,Kadıköy 5.0 km uzaklıkta
Hotel Timya,8.3,₺1.932,Kadıköy 4.9 km uzaklıkta
Ayyildizlar,6.2,₺853,Kadıköy 4.9 km uzaklıkta
Puhu Otel,8.7,₺1.386,Kadıköy 4.9 km uzaklıkta
Valide-i Suit,5.3,₺1.560,Kadıköy 6.6 km uzaklıkta
Swissotel The Bosphorus,9.2,₺8.975,Kadıköy 9.8 km uzaklıkta
Çırağan Palace Kempinski,9.0,₺16.123,Kadıköy 9.1 km uzaklıkta
Elite Hotel Dragos,7.5,₺2.700,Kadıköy 8.9 km uzaklıkta
Crowne Plaza Istanbul Ortakoy Bosphorus,5.5,₺5.212,Kadıköy 9.0 km uzaklıkta
Ramada Plaza By Wyndham İstanbul City Center,8.1,₺3.839,Kadıköy 11.2 km uzaklıkta
Kalyon Hotel Istanbul,8.1,₺2.901,Kadıköy 8.9 km uzaklıkta
Gezi Hotel Bosphorus,9.0,₺5.410,Kadıköy 10.2 km uzaklıkta
Anastasia Meziki,9.2,₺2.550,Kadıköy 6.5 km uzaklıkta
May Otel Üsküdar,8.9,₺3.113,Kadıköy 7.5 km uzaklıkta
The Bosphorus House,8.4,₺1.895,Kadıköy 7.2 km uzaklıkta
Days Hotel By Wyndham Istanbul Maltepe,8.8,₺2.754,Kadıköy 8.6 km uzaklıkta
Sed Hotel Bosphorus,6.7,₺2.024,Kadıköy 9.8 km uzaklıkta
Biz Cevahir,9.2,₺2.581,Kadıköy 9.1 km uzaklıkta
Corner Hot,8.4,₺1.767,Kadıköy 9.0 km uzaklıkta
Cevahir Istanbul Asia,8.0,₺3.060,Kadıköy 8.4 km uzaklıkta
Legacy Ottoman Hotel,7.2,₺3.081,Kadıköy 9.9 km uzaklıkta
Zin D Sefin Aparts,7.9,₺668,Kadıköy 9.4 km uzaklıkta
Hotel Dara,7.2,₺2.884,Kadıköy 9.6 km uzaklıkta
Hotel Blue House,8.8,₺3.911,Kadıköy 9.1 km uzaklıkta
Bram Hotel Istanbul,10,₺25.501,Kadıköy 9.5 km uzaklıkta
The Haze Karakoy,7.9,₺2.100,Kadıköy 10.1 km uzaklıkta
Sultanahmet Palace,9.2,₺3.438,Kadıköy 9.2 km uzaklıkta
Aysem Sultan Hotel,7.8,₺1.137,Kadıköy 9.1 km uzaklıkta
Vogue Hotel Istanbul,9.2,₺3.845,Kadıköy 9.3 km uzaklıkta
Malta Bosphorus Hotel,7.9,₺2.332,Kadıköy 9.2 km uzaklıkta
Orient Express Hotel,8.3,₺2.093,Kadıköy 9.5 km uzaklıkta
GLK Premier Acropol Suites & Spa,8.8,₺2.665,Kadıköy 9.0 km uzaklıkta
Karakoy Aparts,7.4,₺2.673,Kadıköy 10.2 km uzaklıkta
Hotel Azade,8.1,₺2.125,Kadıköy 9.0 km uzaklıkta
Hotel Ayasultan,7.9,₺2.780,Kadıköy 9.6 km uzaklıkta
Hotel Sunlight,7.5,₺7.268,Kadıköy 9.9 km uzaklıkta
Seven Hills Palace Hotel,9.4,₺3.286,Kadıköy 9.0 km uzaklıkta
Hotel Tashkonak Istanbul,8.6,₺1.845,Kadıköy 9.2 km uzaklıkta
Amiral Palace,9.2,₺4.846,Kadıköy 9.0 km uzaklıkta
Ortaköy Hotel,7.9,₺4.336,Kadıköy 8.9 km uzaklıkta
Aprilis Hotel,8.1,₺3.181,Kadıköy 9.8 km uzaklıkta
Crowne Plaza Istanbul Old City,7.9,₺2.885,Kadıköy 11.0 km uzaklıkta
Jw Marriott Istanbul Bosphorus,9.2,₺9.352,Kadıköy 9.9 km uzaklıkta
Hôtel Lady Diana,8.0,₺2.142,Kadıköy 9.6 km uzaklıkta
White Pearl Apart,8.1,₺2.543,Kadıköy 9.6 km uzaklıkta
Poem,9.3,₺3.374,Kadıköy 9.0 km uzaklıkta
Erguvan,9.0,₺1.194,Kadıköy 9.5 km uzaklıkta
Dosso Dossi Hotels Old City,8.8,₺2.406,Kadıköy 9.4 km uzaklıkta
Yusufpaşa Konağı,8.3,₺1.717,Kadıköy 8.9 km uzaklıkta
Hotel Katelya,9.2,₺2.191,Kadıköy 9.3 km uzaklıkta
Apple Tree Hotel,8.5,₺1.196,Kadıköy 9.0 km uzaklıkta
Housez Suites,9.1,₺3.599,Kadıköy 9.8 km uzaklıkta
The Million Stone,8.8,₺2.860,Kadıköy 9.4 km uzaklıkta
Opera,8.0,₺3.631,Kadıköy 9.9 km uzaklıkta
Obelisk,9.4,₺3.695,Kadıköy 9.0 km uzaklıkta
InnPera,7.1,₺2.216,Kadıköy 10.2 km uzaklıkta
Grand Hotel Gulsoy,7.7,₺2.272,Kadıköy 11.1 km uzaklıkta
Manesol Old City Bosphorus,7.9,₺2.479,Kadıköy 9.8 km uzaklıkta
Hotel Cheya Besiktas & Suites,8.0,₺2.314,Kadıköy 9.8 km uzaklıkta
Ferman Port Hotel,9.0,₺2.578,Kadıköy 10.1 km uzaklıkta
Sultanhan,9.0,₺3.059,Kadıköy 9.7 km uzaklıkta
Meserret Palace Hotel,9.4,₺2.898,Kadıköy 9.7 km uzaklıkta
Meroddi Galata Mansion,8.4,₺1.508,Kadıköy 10.4 km uzaklıkta
"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton",9.4,₺4.709,Kadıköy 9.2 km uzaklıkta
Sultanhan,9.1,₺3.059,Kadıköy 9.7 km uzaklıkta
Divan Istanbul,8.9,₺5.797,Kadıköy 10.5 km uzaklıkta
Dedeman Istanbul,6.5,₺3.259,Kadıköy 11.1 km uzaklıkta
Amethyst Hotel Istanbul,8.1,₺3.220,Kadıköy 11.2 km uzaklıkta
Hotel Alpek,8.6,₺2.556,Kadıköy 10.0 km uzaklıkta
Sirkeci Mansion,9.6,₺3.638,Kadıköy 9.4 km uzaklıkta
Anadolu Hotel Istanbul,7.9,₺1.325,Kadıköy 9.4 km uzaklıkta
Sümengen,8.0,₺1.865,Kadıköy 9.0 km uzaklıkta
Bosfora,8.2,₺1.811,Kadıköy 10.1 km uzaklıkta
Hotel Ibrahim Pasha,9.5,₺3.542,Kadıköy 9.5 km uzaklıkta
Ottoman Hotel Imperial,8.3,₺2.511,Kadıköy 9.2 km uzaklıkta
The Marmara Taksim,8.7,₺5.075,Kadıköy 10.2 km uzaklıkta
Hotel Uyan,8.4,₺6.084,Kadıköy 9.1 km uzaklıkta
Seven Hills Hotel,9.0,₺4.159,Kadıköy 9.1 km uzaklıkta
Ramada By Wyndham Istanbul Taksim,7.5,₺3.349,Kadıköy 10.6 km uzaklıkta
Nordstern Galata,8.9,₺3.188,Kadıköy 10.2 km uzaklıkta
Hotel Lalahan,8.9,₺2.646,Kadıköy 9.5 km uzaklıkta
Hotel Ipek Palas,7.0,₺1.952,Kadıköy 9.7 km uzaklıkta
Hotel Osmanhan,9.5,₺2.447,Kadıköy 9.0 km uzaklıkta
Nabu,8.8,₺2.435,Kadıköy 9.9 km uzaklıkta
Apex,8.8,₺2.319,Kadıköy 9.0 km uzaklıkta
Hotel Olimpiyat,8.1,₺1.503,Kadıköy 9.5 km uzaklıkta
Perapolis,8.1,₺1.934,Kadıköy 9.0 km uzaklıkta
Valide Sultan Konağı,9.1,₺3.013,Kadıköy 9.0 km uzaklıkta
Root Karakoy,7.7,₺2.853,Kadıköy 10.0 km uzaklıkta
Le Petit Palace hotel,8.8,₺3.362,Kadıköy 9.6 km uzaklıkta
Perula,8.6,₺2.284,Kadıköy 9.6 km uzaklıkta
Hotel Recital,8.8,₺2.773,Kadıköy 9.7 km uzaklıkta
Obahan Hotel,8.9,₺3.204,Kadıköy 9.2 km uzaklıkta
Senatus,9.2,₺2.157,Kadıköy 9.0 km uzaklıkta
Euro Design Hotel,9.0,₺2.739,Kadıköy 9.7 km uzaklıkta
Catch Hotel Sultanahmet,9.0,₺2.604,Kadıköy 9.0 km uzaklıkta
Radisson Hotel President Old Town - Istanbul,8.5,₺3.701,Kadıköy 10.3 km uzaklıkta
Mercure Istanbul Sirkeci,8.9,₺2.968,Kadıköy 9.8 km uzaklıkta
"Symbola Bosphorus ,Ortaköy",7.1,₺2.493,Kadıköy 9.2 km uzaklıkta
Innova Sultanahmet Istanbul,8.7,₺2.370,Kadıköy 9.8 km uzaklıkta
Ajwa Hotel Sultanahmet,9.7,₺9.007,Kadıköy 9.9 km uzaklıkta
Hotel Sirkeci Park,6.9,₺1.139,Kadıköy 9.6 km uzaklıkta
New Taksim Hotel,7.9,₺3.277,Kadıköy 11.0 km uzaklıkta
Great Fortune & Spa,6.8,₺2.667,Kadıköy 9.6 km uzaklıkta
Great Fortune Design Hotel,7.8,₺2.300,Kadıköy 9.8 km uzaklıkta
Hotel Novotel Istanbul Bosphorus,8.4,₺4.328,Kadıköy 9.9 km uzaklıkta
Tria Hotel Istanbul,7.6,₺4.208,Kadıköy 9.0 km uzaklıkta
Alilass,9.0,₺1.745,Kadıköy 9.0 km uzaklıkta
Dersaadet Hotel,9.4,₺3.333,Kadıköy 9.3 km uzaklıkta
Golden Horn Sultanahmet,8.1,₺2.619,Kadıköy 9.6 km uzaklıkta
Hotel Diamond Royal,7.1,₺3.246,Kadıköy 9.5 km uzaklıkta
Triada Hotel Taksim - Special Category,7.3,₺1.958,Kadıköy 10.3 km uzaklıkta
Taksim Prelude Hotel,8.2,₺2.169,Kadıköy 10.4 km uzaklıkta
Zimmer Bosphorus Hotel,6.8,₺3.153,Kadıköy 9.7 km uzaklıkta
Hotel The Central Palace Taksim,8.2,₺4.016,Kadıköy 10.5 km uzaklıkta
Hotel Aristocrat,8.5,₺2.702,Kadıköy 9.1 km uzaklıkta
Hotel Taxim Hill,6.9,₺2.219,Kadıköy 10.3 km uzaklıkta
Esans,9.2,₺2.087,Kadıköy 8.9 km uzaklıkta
Levni Hotel&SPA,8.8,₺3.401,Kadıköy 9.6 km uzaklıkta
Taksim Terrace,8.0,₺1.304,Kadıköy 10.7 km uzaklıkta
Magnova Studios,9.4,₺3.926,Kadıköy 10.6 km uzaklıkta
Hotel Best Western Empire Palace,7.8,₺2.425,Kadıköy 9.5 km uzaklıkta
Ilkay,8.0,₺2.048,Kadıköy 9.5 km uzaklıkta
Ferman Sultan,7.9,₺5.169,Kadıköy 9.6 km uzaklıkta
Hotel Lausos,7.8,₺3.082,Kadıköy 9.6 km uzaklıkta
Albinas Hotel Old City,9.0,₺1.913,Kadıköy 9.4 km uzaklıkta
Melas Hotel Istanbul,8.8,₺5.277,Kadıköy 11.6 km uzaklıkta
Antusa Palace Hotel&spa,9.0,₺2.004,Kadıköy 9.5 km uzaklıkta
Hotel Grand Hyatt Istanbul,8.8,₺5.681,Kadıköy 10.3 km uzaklıkta
Nayla Palace,7.7,₺2.638,Kadıköy 9.1 km uzaklıkta
Armagrandi Spina,8.5,₺2.089,Kadıköy 9.1 km uzaklıkta
Hotel Eurostars Old City,8.4,₺3.257,Kadıköy 9.7 km uzaklıkta
Antique Hostel,7.7,₺1.205,Kadıköy 9.1 km uzaklıkta
Armada Apartment,8.9,₺3.056,Kadıköy 8.8 km uzaklıkta
Yaşmak Sultan,9.0,₺3.109,Kadıköy 9.5 km uzaklıkta
Arife Sultan Hotel,8.5,₺1.546,Kadıköy 9.6 km uzaklıkta
Hotel Meroddi Bagdatliyan,8.2,₺1.728,Kadıköy 10.5 km uzaklıkta
Hotel Black Tulip,8.2,₺2.159,Kadıköy 9.5 km uzaklıkta
Tomtom Suites,9.7,₺5.970,Kadıköy 10.4 km uzaklıkta
Galatahan,8.8,₺1.138,Kadıköy 10.4 km uzaklıkta
Neorion,9.6,₺3.258,Kadıköy 9.6 km uzaklıkta
Hotel Armada Sultanahmet Istanbul,8.6,₺3.819,Kadıköy 8.8 km uzaklıkta
Golden Age Hotel Istanbul,6.9,₺2.306,Kadıköy 10.6 km uzaklıkta
Side Hotel,8.8,₺2.705,Kadıköy 9.1 km uzaklıkta
Hotel Istanbul Holiday,7.0,₺1.717,Kadıköy 9.4 km uzaklıkta
Hotel Sultans Royal,9.1,₺2.302,Kadıköy 9.4 km uzaklıkta
Peyk,9.4,₺3.396,Kadıköy 9.7 km uzaklıkta
Anjer Hotel Bosphorus,6.7,₺3.057,Kadıköy 9.7 km uzaklıkta
Modus,7.7,₺4.338,Kadıköy 10.9 km uzaklıkta
Naumpaşa Konağı,8.6,₺2.024,Kadıköy 10.3 km uzaklıkta
Ferman,8.7,₺2.214,Kadıköy 9.0 km uzaklıkta
Anemon Galata,8.4,₺2.771,Kadıköy 10.4 km uzaklıkta
Acar Suite Hotel,9.3,₺1.127,Kadıköy 9.3 km uzaklıkta
Hotel Dream Bosphorus,8.5,₺2.650,Kadıköy 9.5 km uzaklıkta
And Istanbul,8.9,₺3.449,Kadıköy 9.4 km uzaklıkta
Meroddi Barnathan Hotel,9.0,₺1.808,Kadıköy 10.4 km uzaklıkta
Hotel Sarı Konak,8.9,₺1.676,Kadıköy 9.0 km uzaklıkta
Bunkahaus,8.3,₺1.088,Kadıköy 10.4 km uzaklıkta
Meg Hotel,9.6,₺3.897,Kadıköy 9.5 km uzaklıkta
Hotel Régie Ottoman Istanbul,9.4,₺5.449,Kadıköy 9.8 km uzaklıkta
Spectra Hotel,8.6,₺2.224,Kadıköy 9.5 km uzaklıkta
Tan Hotel - Special Category,8.8,₺2.439,Kadıköy 9.5 km uzaklıkta
Piya Sport,8.6,₺2.659,Kadıköy 10.5 km uzaklıkta
Miniature,9.6,₺3.607,Kadıköy 9.6 km uzaklıkta
Witt Istanbul,9.8,₺6.279,Kadıköy 10.0 km uzaklıkta
Royan Suites,9.7,₺1.235,Kadıköy 9.0 km uzaklıkta
Grand Hotel De Pera,7.8,₺2.459,Kadıköy 10.7 km uzaklıkta
Anthemis,8.8,₺2.071,Kadıköy 9.5 km uzaklıkta
Sarnıç Hotel Istanbul,8.1,₺1.460,Kadıköy 9.3 km uzaklıkta
The Peak Hotel,7.0,₺2.309,Kadıköy 10.7 km uzaklıkta
Richmond Istanbul,8.3,₺3.178,Kadıköy 10.5 km uzaklıkta
Antik Hotel Istanbul,7.6,₺2.663,Kadıköy 10.5 km uzaklıkta
Rodamon Istanbul Hostel,6.8,₺1.317,Kadıköy 10.8 km uzaklıkta
Antusa Design Hotel & Spa,9.1,₺2.474,Kadıköy 9.4 km uzaklıkta
Mevlana,8.0,₺1.818,Kadıköy 9.1 km uzaklıkta
Istanbul Family Apartments,6.7,₺1.019,Kadıköy 10.3 km uzaklıkta
Arden City,8.4,₺2.898,Kadıköy 9.5 km uzaklıkta
Azade Premier,8.5,₺2.391,Kadıköy 9.0 km uzaklıkta
Nomade Exclusive,9.6,₺2.487,Kadıköy 9.1 km uzaklıkta
Hotel Azade - Boutique Class,8.2,₺2.125,Kadıköy 9.0 km uzaklıkta
Orient,9.5,₺4.122,Kadıköy 9.0 km uzaklıkta
Aren Suites,9.0,₺2.439,Kadıköy 9.3 km uzaklıkta
Celal Aga Konagi Suites & Spa Hotel,6.4,₺2.818,Kadıköy 11.0 km uzaklıkta
Hotel Seraglio,9.5,₺2.264,Kadıköy 9.0 km uzaklıkta
Hotel Meroddi Pera,8.2,₺2.800,Kadıköy 10.5 km uzaklıkta
Aybar Butik,8.6,₺2.210,Kadıköy 9.6 km uzaklıkta
Dilhayat Kalfa,9.2,₺2.218,Kadıköy 9.3 km uzaklıkta
Hotel Spinel,7.6,₺1.576,Kadıköy 8.9 km uzaklıkta
Hotel Fehmi Bey,8.4,₺2.434,Kadıköy 9.5 km uzaklıkta
Angel's Home,8.5,₺1.932,Kadıköy 9.0 km uzaklıkta
Hotel Nena,8.6,₺3.911,Kadıköy 9.6 km uzaklıkta
Hotel GLK Premier The Home Suites & Spa,8.4,₺2.372,Kadıköy 9.3 km uzaklıkta
Loor Hotel,7.0,₺5.346,Kadıköy 10.2 km uzaklıkta
Asmali Hotel,8.5,₺1.214,Kadıköy 9.4 km uzaklıkta
V Plus Taksim,7.0,₺1.928,Kadıköy 10.2 km uzaklıkta
Hotel Divalis,8.8,₺1.705,Kadıköy 9.1 km uzaklıkta
Victory & Spa,7.0,₺2.209,Kadıköy 10.4 km uzaklıkta
Ottoman's Pearl,7.6,₺1.607,Kadıköy 9.9 km uzaklıkta
Orka Royal Hotel & Spa,8.4,₺6.559,Kadıköy 9.5 km uzaklıkta
